M,F,Fascia di eta,Stato civile,Titolo di studio,Attivita lavorativa,Numero dei componenti nucleo familiare,Siti internet frequentati maggiormente,Canali social frequentati abitualmente,Mezzi di informazione utilizzati in prevalenza,Principali hobby,Genere di film preferito,Sala cinematografica di riferimento,Criterio di scelta della sala cinematografica,Numero medio di film visti al cinema ogni mese,Abitualmente va al cinema,Influiscono sulla scelta dei film,Fonte principale di reperimento informazioni sui film,"Oltre che al cinema, preferisce vedere i film",Numero medio di libri letti in un anno,Numero medio di concerti visti in un anno,Numero medio di mostre viste in un anno,Numero medio di musei visitati in un anno,Numero medio di rappresentazioni teatrali viste in un anno,A quali attivita organizzate e promosse da Moovie Club per i propri iscritti  maggiormente interessato?
1,0,30 � 40,Celibe - Nubile,Laurea,Libero professionista,pi� di 3,"Moda, design e nuove tendenza",Facebook,Televisione,Cinema e teatro,Fantascienza,The Space,Vicinanza a casa,Da 1 a 2,Con il partner,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Da 1 a 3,Da 1 a 3,Nessuna,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,oltre 50,Separato/a � divorziato/a non convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Attivit� sportive,Azione,Altra,Qualit� di immagine e suono,Pi� di 2,Con il partner,Le recensioni online e offline,Siti internet specializzati,Su PC o tablet attraverso digital download,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,oltre 50,Coniugato/a  - convivente,Licenza media,Lavoratore dipendente,pi� di 3,"Cultura, cinema e spettacolo",Facebook,Quotidiani stampa e periodici,Cinema e teatro,Commedia,The Space,Promozioni e sconti sul biglietto di ingresso,Da 1 a 2,Con partner e figli,Il regista o il cast,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,24 � 30,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Il passaparola,Web,Su PC o tablet attraverso digital download,Da 1 a 3,Da 1 a 3,Nessuna,Nessuno,Nessuna,Biglietti cinema omaggio
0,1,24 � 30,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,Blog,Facebook,"PC, tablet o smartphone",Cinema e teatro,Romantico,The Space,Vicinanza a casa,Da 1 a 2,Con gli amici,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,,,,,,,,,,,,,,,,,,,,,,,
0,0,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Altro,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Viaggi,Azione,UCI,Vicinanza a casa,Da 1 a 2,Con il partner,Il passaparola,Web,Sui canali televisivi in chiaro,Nessuno,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,pi� di 3,Notiziari,Facebook,"PC, tablet o smartphone",Attivit� sportive,Avventura,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con gli amici,Il regista o il cast,Web,Su supporti DVD o Blu-ray,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,1,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Viaggi,Fantascienza,The Space,Film programmati,Da 1 a 2,Con gli amici,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Nessuno,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Biglietti cinema omaggio
0,0,40 � 50,Coniugato/a  - convivente,Diploma di scuola media superiore,Disoccupato/a,pi� di 3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,The Space,Vicinanza a casa,Da 1 a 2,Con gli amici,Il passaparola,Web,Sui canali televisivi in chiaro,Pi� di 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore autonomo,2,"Moda, design e nuove tendenza",Facebook,"PC, tablet o smartphone",Viaggi,Commedia,The Space,Vicinanza a casa,Pi� di 2,Con il partner,Le recensioni online e offline,Web,Sui canali televisivi satellitari a pagamento,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Pi� di 3,Inviti gratuiti ad anteprime
0,0,oltre 50,Separato/a � divorziato/a non convivente,Diploma di scuola media superiore,Lavoratore dipendente,1,"Cultura, cinema e spettacolo",Facebook,Televisione,Musica,Drammatico,Altra,Film programmati,Da 1 a 2,Da solo,,,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Da 1 a 3,Nessuno,Da 1 a 3,Organizzazione di incontri con registi e attori
0,1,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Viaggi,Romantico,UCI,Promozioni e sconti sul biglietto di ingresso,Meno di 1,Con il partner,Il rating del film su Imdb e siti simili,Web,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Pi� di 3,Da 1 a 3,Pi� di 3,Inviti gratuiti ad anteprime
0,1,30 � 40,Celibe - Nubile,Diploma di scuola media superiore,Disoccupato/a,1,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Attivit� sportive,Commedia,UCI,Vicinanza a casa,Da 1 a 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Da 1 a 3,Nessuno,Nessuna,Nessuno,Nessuna,Inviti gratuiti ad anteprime
1,0,18 � 24,Celibe - Nubile,Diploma di scuola media superiore,Studente/ssa,pi� di 3,Informazione sportiva,Facebook,Televisione,Viaggi,Fantascienza,Altra,Promozioni e sconti sul biglietto di ingresso,Meno di 1,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Biglietti cinema omaggio
0,0,30 � 40,Coniugato/a  - convivente,Diploma di scuola media superiore,Libero professionista,2,"Moda, design e nuove tendenza",YouTube,Televisione,Viaggi,Fantascienza,UCI,Facilit� di parcheggio,Da 1 a 2,Con gli amici,Le recensioni online e offline,Televisione e radio,Sui canali televisivi in chiaro,Pi� di 3,Nessuno,Da 1 a 3,Pi� di 3,Nessuna,Biglietti cinema omaggio
1,0,18 � 24,Coniugato/a  - convivente,Diploma di scuola media superiore,Lavoratore dipendente,2,Blog,Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,UCI,Vicinanza a casa,Da 1 a 2,Con gli amici,Le recensioni online e offline,Web,Su PC o tablet attraverso digital download,Nessuno,Nessuno,Nessuna,Nessuno,Nessuna,Inviti gratuiti ad anteprime
0,1,oltre 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,1,Notiziari,Facebook,Televisione,Cinema e teatro,Commedia,The Space,Film programmati,Pi� di 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,40 � 50,Celibe - Nubile,Diploma di scuola media superiore,Lavoratore dipendente,2,Notiziari,Facebook,Quotidiani stampa e periodici,Cinema e teatro,Commedia,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Il regista o il cast,Quotidiani stampa e periodici,Sui canali televisivi in chiaro,Da 1 a 3,Nessuno,Nessuna,Nessuno,Nessuna,Inviti gratuiti ad anteprime
1,0,24 � 30,Celibe - Nubile,Laurea,Lavoratore autonomo,pi� di 3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,UCI,Promozioni e sconti sul biglietto di ingresso,Pi� di 2,Con gli amici,Le recensioni online e offline,Web,Su supporti DVD o Blu-ray,Pi� di 3,Pi� di 3,,,,Inviti gratuiti ad anteprime
1,0,,,,,,,,,,,,,,,,,,,,,,,
1,0,18 � 24,Celibe - Nubile,Licenza media,Studente/ssa,1,Notiziari,Facebook,Quotidiani stampa e periodici,Arte e letteratura,Azione,The Space,Vicinanza a casa,Meno di 1,Da solo,Il passaparola,Web,Sui canali televisivi in chiaro,Nessuno,Nessuno,Nessuna,Nessuno,Nessuna,Inviti gratuiti ad anteprime
1,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,40 � 50,Coniugato/a  - convivente,Laurea,Lavoratore dipendente,pi� di 3,Altri,Facebook,"PC, tablet o smartphone",Cinema e teatro,Commedia,UCI,Facilit� di parcheggio,Da 1 a 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,40 � 50,,Diploma di scuola media superiore,Lavoratore dipendente,2,"Cultura, cinema e spettacolo",Facebook,Radio,Arte e letteratura,Azione,The Space,Qualit� di immagine e suono,Da 1 a 2,Con gli amici,Il passaparola,Siti internet specializzati,Sui canali televisivi in chiaro,Pi� di 3,Pi� di 3,Da 1 a 3,Pi� di 3,Pi� di 3,Biglietti cinema omaggio
0,0,24 � 30,Celibe - Nubile,Laurea,Disoccupato/a,pi� di 3,Informazione sportiva,YouTube,"PC, tablet o smartphone",Attivit� sportive,Avventura,Altra,Promozioni e sconti sul biglietto di ingresso,Meno di 1,Con il partner,Il regista o il cast,Televisione e radio,Sui canali televisivi in chiaro,Da 1 a 3,Nessuno,Da 1 a 3,Da 1 a 3,Nessuna,Inviti gratuiti ad anteprime
0,1,oltre 50,Celibe - Nubile,Diploma di scuola media superiore,Altro,1,"Cultura, cinema e spettacolo",Snapchat,"PC, tablet o smartphone",Cinema e teatro,Avventura,The Space,Vicinanza a casa,Pi� di 2,Con gli amici,Il regista o il cast,Web,Sui canali televisivi in chiaro,Nessuno,Da 1 a 3,Nessuna,Da 1 a 3,Da 1 a 3,Inviti gratuiti ad anteprime
1,0,,,,,,,,,,,,,,,,,,,,,,,
1,0,oltre 50,Separato/a � divorziato/a non convivente,Laurea,Lavoratore dipendente,3,"Cultura, cinema e spettacolo",Facebook,"PC, tablet o smartphone",Cinema e teatro,Fantascienza,UCI,Vicinanza a casa,Pi� di 2,Con il partner,Il rating del film su Imdb e siti simili,Web,Sui canali televisivi in chiaro,Da 1 a 3,Pi� di 3,Da 1 a 3,Da 1 a 3,Pi� di 3,Biglietti cinema omaggio
